time,temperature,humidity
2025-01-25 16:04:19,32.00,55.00
2025-01-25 16:04:22,32.00,54.20
2025-01-25 16:04:25,32.00,53.60
2025-01-25 16:04:29,32.00,53.10
2025-01-25 16:04:32,31.90,52.40
2025-01-25 16:04:35,31.80,52.30
2025-01-25 16:04:38,31.60,52.00
2025-01-25 16:04:42,31.60,51.70
2025-01-25 16:04:45,31.60,51.50
2025-01-25 16:04:48,31.60,51.30
2025-01-25 16:04:52,31.60,51.10
2025-01-25 16:04:55,31.60,50.90
2025-01-25 16:04:58,31.60,50.90
2025-01-25 16:05:02,31.60,51.40
2025-01-25 16:05:05,31.60,51.70
2025-01-25 16:05:08,31.60,51.90
2025-01-25 16:05:12,31.60,51.80
2025-01-25 16:05:15,31.60,51.60
2025-01-25 16:05:18,31.60,51.40
2025-01-25 16:05:21,31.60,51.10
2025-01-25 16:05:25,31.60,50.90
2025-01-25 16:05:28,31.60,50.70
2025-01-25 16:05:31,31.60,50.50
2025-01-25 16:05:34,31.60,50.40
2025-01-25 16:05:38,31.60,50.30
2025-01-25 16:05:41,31.60,50.10
2025-01-25 16:05:44,31.60,50.10
2025-01-25 16:05:48,31.60,50.00
2025-01-25 16:05:51,31.60,49.90
2025-01-25 16:05:54,31.60,49.90
2025-01-25 16:05:57,31.60,49.80
2025-01-25 16:06:01,31.60,49.70
2025-01-25 16:06:04,31.80,49.70
2025-01-25 16:06:07,31.90,49.70
2025-01-25 16:06:11,31.90,49.90
2025-01-25 16:06:14,32.00,50.00
2025-01-25 16:06:17,32.00,50.10
2025-01-25 16:06:20,32.00,50.20
2025-01-25 16:06:24,32.00,50.00
2025-01-25 16:06:27,32.00,49.80
2025-01-25 16:06:30,32.00,49.90
2025-01-25 16:06:33,32.00,49.90
2025-01-25 16:06:37,32.00,50.00
2025-01-25 16:06:40,32.00,50.20
2025-01-25 16:06:43,32.00,50.20
2025-01-25 16:06:47,32.00,50.20
2025-01-25 16:06:50,32.00,50.10
2025-01-25 16:06:53,32.00,49.70
2025-01-25 16:06:56,32.00,49.60
2025-01-25 16:07:00,32.00,49.50
2025-01-25 16:07:03,32.00,49.50
2025-01-25 16:07:06,32.00,49.40
2025-01-25 16:07:10,32.00,49.20
2025-01-25 16:07:13,32.00,49.10
2025-01-25 16:07:16,32.00,48.90
2025-01-25 16:07:19,32.00,48.80
2025-01-25 16:07:23,32.00,48.90
2025-01-25 16:07:26,32.00,48.90
2025-01-25 16:07:29,32.10,49.10
2025-01-25 16:07:33,32.10,49.20
2025-01-25 16:07:36,32.10,49.10
2025-01-25 16:07:39,32.10,49.30
2025-01-25 16:07:42,32.20,49.20
2025-01-25 16:07:46,32.20,49.10
2025-01-25 16:07:49,32.20,49.00
2025-01-25 16:07:52,32.30,48.80
2025-01-25 16:07:56,32.30,48.70
2025-01-25 16:07:59,32.30,48.50
2025-01-25 16:08:02,32.30,48.30
2025-01-25 16:08:05,32.30,48.20
2025-01-25 16:08:09,32.30,48.30
2025-01-25 16:08:12,32.30,48.50
2025-01-25 16:08:15,32.30,48.50
2025-01-25 16:08:19,32.30,48.40
2025-01-25 16:08:22,32.30,48.30
2025-01-25 16:08:25,32.30,48.20
2025-01-25 16:08:28,32.30,48.00
2025-01-25 16:08:32,32.30,48.00
2025-01-25 16:08:35,32.30,48.20
2025-01-25 16:08:38,32.30,48.00
2025-01-25 16:08:41,32.30,47.90
2025-01-25 16:08:45,32.30,47.80
2025-01-25 16:08:48,32.30,47.90
2025-01-25 16:08:51,32.50,48.00
2025-01-25 16:08:55,32.60,48.00
2025-01-25 16:08:58,32.80,48.20
2025-01-25 16:09:01,33.00,48.40
2025-01-25 16:09:04,33.00,48.30
2025-01-25 16:09:08,33.00,48.10
2025-01-25 16:09:11,33.10,47.80
2025-01-25 16:09:14,33.10,47.60
2025-01-25 16:09:18,33.10,47.20
2025-01-25 16:09:21,33.10,47.30
2025-01-25 16:09:24,33.20,47.20
2025-01-25 16:09:27,33.20,47.10
2025-01-25 16:09:31,33.20,47.00
2025-01-25 16:09:34,33.30,47.10
2025-01-25 16:09:37,33.30,47.10
2025-01-25 16:09:40,33.30,46.90
2025-01-25 16:09:44,33.30,46.80
2025-01-25 16:09:47,33.30,47.00
2025-01-25 16:09:50,33.30,46.80
2025-01-25 16:09:54,33.50,46.60
2025-01-25 16:09:57,33.50,46.40
2025-01-25 16:10:00,33.50,46.20
2025-01-25 16:10:03,33.50,46.30
2025-01-25 16:10:07,33.50,46.10
2025-01-25 16:10:10,33.50,46.00
2025-01-25 16:10:13,33.50,45.90
2025-01-25 16:10:16,33.50,45.90
2025-01-25 16:10:20,33.50,46.10
2025-01-25 16:10:23,33.50,46.10
2025-01-25 16:10:26,33.60,46.10
2025-01-25 16:10:30,33.60,46.30
2025-01-25 16:10:33,33.70,46.30
2025-01-25 16:10:36,33.70,46.20
2025-01-25 16:10:39,33.70,46.00
2025-01-25 16:10:43,33.70,45.90
2025-01-25 16:10:46,33.70,45.80
2025-01-25 16:10:49,33.70,45.70
2025-01-25 16:10:53,33.70,45.70
2025-01-25 16:10:56,33.80,45.60
2025-01-25 16:10:59,33.80,45.50
2025-01-25 16:11:02,33.80,45.30
2025-01-25 16:11:06,33.80,45.20
2025-01-25 16:11:09,33.80,45.10
2025-01-25 16:11:12,33.80,45.30
2025-01-25 16:11:15,33.90,45.50
2025-01-25 16:11:19,33.90,45.60
2025-01-25 16:11:22,33.90,45.50
2025-01-25 16:11:25,33.90,45.40
2025-01-25 16:11:29,33.90,45.30
2025-01-25 16:11:32,34.00,45.30
2025-01-25 16:11:35,34.00,45.20
2025-01-25 16:11:38,34.00,45.30
2025-01-25 16:11:42,34.00,45.10
2025-01-25 16:11:45,34.00,45.10
2025-01-25 16:11:48,34.00,44.90
2025-01-25 16:11:52,34.00,44.90
2025-01-25 16:11:55,34.00,44.80
2025-01-25 16:11:58,34.00,44.80
2025-01-25 16:12:01,34.00,44.80
2025-01-25 16:12:05,34.00,44.80
2025-01-25 16:12:08,34.00,45.00
2025-01-25 16:12:11,34.00,45.10
2025-01-25 16:12:14,34.00,45.00
2025-01-25 16:12:18,34.00,44.90
2025-01-25 16:12:21,34.10,44.70
2025-01-25 16:12:24,34.10,44.50
2025-01-25 16:12:28,34.10,44.20
2025-01-25 16:12:31,34.10,44.00
2025-01-25 16:12:34,34.10,43.80
2025-01-25 16:12:37,34.10,43.70
2025-01-25 16:12:41,34.20,43.60
2025-01-25 16:12:44,34.20,43.70
2025-01-25 16:12:47,34.20,43.80
2025-01-25 16:12:51,34.20,43.90
2025-01-25 16:12:54,34.20,44.10
2025-01-25 16:12:57,34.20,44.10
2025-01-25 16:13:00,34.20,43.90
2025-01-25 16:13:04,34.20,43.80
2025-01-25 16:13:07,34.20,43.70
2025-01-25 16:13:10,34.20,43.50
2025-01-25 16:13:13,34.20,43.40
2025-01-25 16:13:17,34.20,43.30
2025-01-25 16:13:20,34.20,43.20
2025-01-25 16:13:23,34.20,43.10
2025-01-25 16:13:26,34.20,42.90
2025-01-25 16:13:30,34.20,43.00
2025-01-25 16:13:33,34.20,43.00
2025-01-25 16:13:36,34.20,43.00
2025-01-25 16:13:39,34.20,43.30
2025-01-25 16:13:43,34.20,43.70
2025-01-25 16:13:46,34.20,43.70
2025-01-25 16:13:49,34.20,43.40
2025-01-25 16:13:53,34.20,43.40
2025-01-25 16:13:56,34.20,43.20
2025-01-25 16:13:59,34.20,43.10
2025-01-25 16:14:03,34.20,43.00
2025-01-25 16:14:06,34.20,43.00
2025-01-25 16:14:09,34.20,43.10
2025-01-25 16:14:13,34.20,43.10
2025-01-25 16:14:16,34.20,43.10
2025-01-25 16:14:19,34.20,43.20
2025-01-25 16:14:23,34.20,43.10
2025-01-25 16:14:26,34.20,43.00
2025-01-25 16:14:29,34.30,42.90
2025-01-25 16:14:33,34.50,42.90
2025-01-25 16:14:36,34.50,42.80
2025-01-25 16:14:39,34.40,42.70
2025-01-25 16:14:42,34.20,42.80
2025-01-25 16:14:46,34.20,42.70
2025-01-25 16:14:49,34.20,42.60
2025-01-25 16:14:52,34.20,42.70
2025-01-25 16:14:55,34.20,42.90
2025-01-25 16:14:59,34.30,42.90
2025-01-25 16:15:02,34.50,42.90
2025-01-25 16:15:05,34.50,42.90
2025-01-25 16:15:09,34.50,42.70
2025-01-25 16:15:12,34.50,42.70
2025-01-25 16:15:15,34.50,42.70
2025-01-25 16:15:18,34.50,42.60
2025-01-25 16:15:22,34.60,42.60
2025-01-25 16:15:25,34.60,42.60
2025-01-25 16:15:28,34.60,42.40
2025-01-25 16:15:32,34.60,42.40
2025-01-25 16:15:35,34.60,42.70
2025-01-25 16:15:38,34.60,42.80
2025-01-25 16:15:41,34.60,42.70
2025-01-25 16:15:45,34.60,42.70
2025-01-25 16:15:48,34.60,42.70
2025-01-25 16:15:51,34.60,42.60
2025-01-25 16:15:55,34.60,42.50
2025-01-25 16:15:58,34.60,42.50
2025-01-25 16:16:01,34.60,42.40
2025-01-25 16:16:04,34.60,42.40
2025-01-25 16:16:08,34.60,42.20
2025-01-25 16:16:11,34.60,42.10
2025-01-25 16:16:14,34.60,42.10
2025-01-25 16:16:18,34.60,42.10
2025-01-25 16:16:21,34.60,42.10
2025-01-25 16:16:24,34.60,42.10
2025-01-25 16:16:27,34.60,42.00
2025-01-25 16:16:31,34.60,42.10
2025-01-25 16:16:34,34.60,42.30
2025-01-25 16:16:37,34.60,42.40
2025-01-25 16:16:40,34.60,42.50
2025-01-25 16:16:44,34.60,42.50
2025-01-25 16:16:47,34.60,42.50
2025-01-25 16:16:51,34.60,42.40
2025-01-25 16:16:54,34.60,42.40
2025-01-25 16:16:57,34.60,42.40
2025-01-25 16:17:00,34.60,42.40
